date,score
01-01-2014,0.0521875
02-01-2014,0.1919484848484848
03-01-2014,0.058680952380952375
04-01-2014,0.13924
05-01-2014,0.30075
06-01-2014,0.11915217391304346
07-01-2014,0.17542
08-01-2014,0.24600909090909087
09-01-2014,0.0327888888888889
10-01-2014,-0.004260000000000002
11-01-2014,0.20365714285714284
12-01-2014,0.007375000000000003
13-01-2014,0.08017857142857143
14-01-2014,0.03286666666666666
15-01-2014,0.21378157894736846
16-01-2014,-0.0013760000000000278
19-01-2014,0.42060000000000003
20-01-2014,0.28034
21-01-2014,0.11814615384615387
22-01-2014,0.16461428571428577
23-01-2014,0.0934
24-01-2014,0.14046829268292685
25-01-2014,0.22924375
26-01-2014,0.03977499999999999
27-01-2014,0.08733829787234042
28-01-2014,0.12684296875000003
29-01-2014,0.019711904761904757
30-01-2014,0.019590476190476196
31-01-2014,0.11117777777777776
01-02-2014,0.055891666666666666
02-02-2014,0.09724666666666668
03-02-2014,0.1197157894736842
04-02-2014,0.09583809523809524
05-02-2014,0.13240555555555555
06-02-2014,0.010899999999999996
07-02-2014,0.13994363636363638
08-02-2014,0.13792941176470586
09-02-2014,0.29934000000000005
10-02-2014,0.2349689655172414
11-02-2014,0.22360476190476192
12-02-2014,0.23113529411764708
13-02-2014,0.1438866666666667
14-02-2014,0.18076470588235297
15-02-2014,0.20333333333333337
16-02-2014,0.007500000000000012
17-02-2014,0.04969333333333334
18-02-2014,0.05118484848484849
19-02-2014,0.19215555555555558
20-02-2014,0.056545454545454545
21-02-2014,0.07803571428571429
22-02-2014,0.3148882352941177
23-02-2014,-0.02661
24-02-2014,0.204875
25-02-2014,0.014536363636363635
26-02-2014,0.20531764705882355
27-02-2014,0.11647948717948718
28-02-2014,0.0885
01-03-2014,-0.14773529411764705
02-03-2014,-0.0731142857142857
03-03-2014,-0.023042857142857143
04-03-2014,-0.18254705882352945
05-03-2014,-0.1353863636363637
06-03-2014,-0.0419
07-03-2014,-0.03987037037037036
08-03-2014,0.08110833333333334
09-03-2014,0.0625
10-03-2014,0.21386666666666668
11-03-2014,0.096835
12-03-2014,-0.001768421052631577
13-03-2014,0.08154615384615384
14-03-2014,0.08125263157894738
15-03-2014,0.13777499999999998
16-03-2014,0.07508888888888889
17-03-2014,0.018313333333333338
18-03-2014,-0.016982758620689653
19-03-2014,-0.03685
20-03-2014,0.27613333333333334
21-03-2014,0.05537857142857142
22-03-2014,0.007759999999999984
23-03-2014,0.04933333333333333
24-03-2014,-0.02157333333333333
25-03-2014,-0.043428
26-03-2014,0.18851818181818183
27-03-2014,0.0181
28-03-2014,-0.04653749999999999
29-03-2014,0.06744444444444446
30-03-2014,0.05583333333333334
31-03-2014,-0.029009523809523798
01-04-2014,0.0017239999999999966
02-04-2014,0.015885714285714284
03-04-2014,-0.129416
04-04-2014,0.05594705882352941
05-04-2014,0.13822
06-04-2014,-0.024906250000000005
07-04-2014,-0.002211764705882351
08-04-2014,0.10135483870967743
09-04-2014,-0.028036111111111112
10-04-2014,0.04789761904761902
11-04-2014,0.020725641025641024
12-04-2014,0.10303076923076925
13-04-2014,0.2063933333333333
14-04-2014,-0.04034999999999998
15-04-2014,0.10481904761904762
16-04-2014,0.013915789473684203
17-04-2014,0.06643333333333333
18-04-2014,0.13393478260869565
19-04-2014,0.06578333333333333
20-04-2014,0.20939333333333332
21-04-2014,0.12867307692307692
22-04-2014,-0.005356521739130432
23-04-2014,0.13654666666666668
24-04-2014,0.1385108333333333
25-04-2014,0.17855714285714275
26-04-2014,0.20300232558139533
27-04-2014,0.021441176470588234
28-04-2014,0.04902608695652173
29-04-2014,0.061267741935483865
30-04-2014,0.12107435897435895
01-05-2014,0.07740652173913044
02-05-2014,0.10194374999999999
03-05-2014,0.03321600000000001
04-05-2014,0.0715875
05-05-2014,0.14834074074074072
06-05-2014,0.11531999999999998
07-05-2014,0.048783783783783785
08-05-2014,0.16222727272727275
09-05-2014,0.08261666666666666
10-05-2014,0.10772857142857144
11-05-2014,-0.030899999999999993
12-05-2014,-0.03748750000000001
13-05-2014,-0.08042857142857143
14-05-2014,0.06414375
15-05-2014,-0.10810000000000002
16-05-2014,0.04672
17-05-2014,0.10274545454545456
18-05-2014,0.14316399999999999
19-05-2014,0.10160416666666668
20-05-2014,0.11849999999999998
21-05-2014,0.06812500000000002
22-05-2014,0.10860399999999998
23-05-2014,0.1348869565217391
24-05-2014,0.22020000000000003
25-05-2014,0.08463333333333334
26-05-2014,0.19569
27-05-2014,0.041443076923076916
28-05-2014,0.04603076923076923
29-05-2014,0.11628524590163936
30-05-2014,0.100465
31-05-2014,0.14060370370370368
01-06-2014,0.1363785714285714
02-06-2014,0.07783692307692308
03-06-2014,0.05836315789473683
04-06-2014,0.076259375
05-06-2014,0.2561162162162162
06-06-2014,0.21455999999999997
07-06-2014,0.16497599999999998
08-06-2014,0.07990000000000001
09-06-2014,0.10190434782608696
10-06-2014,0.030786842105263158
11-06-2014,0.4258078124999999
12-06-2014,0.22857916666666667
13-06-2014,0.13488666666666668
14-06-2014,0.09273846153846152
15-06-2014,0.15975
16-06-2014,0.3455766666666666
18-06-2014,0.4542
19-06-2014,0.2243513513513514
20-06-2014,0.2833250000000001
21-06-2014,0.013199999999999998
22-06-2014,-0.130125
23-06-2014,0.018874725274725272
24-06-2014,0.2851225
25-06-2014,0.1260529411764706
26-06-2014,0.14251176470588234
27-06-2014,0.15008333333333332
28-06-2014,0.03062857142857143
29-06-2014,0.0633076923076923
30-06-2014,0.31437954545454544
01-07-2014,0.24453333333333335
